"Category";"Group";"Type";"Message";"Location";"Assessment";"Since";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/src/main/java/junit/runner/BaseTestRunner.java:108-111";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/BaseTestRunner.java:83-83";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/BaseTestRunner.java:38-38";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Equality check with boolean literal";"Avoid comparisons to boolean literals";"sourcefiles/src/main/java/junit/runner/BaseTestRunner.java:301-301";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/BaseTestRunner.java:28-28";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:20-20";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:22-22";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:12-12";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:24-24";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:18-18";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:16-16";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:11-11";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/TestRunListener.java:14-14";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/Version.java:15-15";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/src/main/java/junit/runner/Version.java:16-16";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/junit/runner/Version.java:11-11";"YELLOW";"default@1590680627101";
